CNBJR27308,1-12,1,"GUIDANCE - OFFICE",HP,"LASERJET P2015",REMOVE,
USGR103133,2-2,2,"21 - MATH STORAGE",HP,"LASERJET 2100",REMOVE,
CNC9C7KC05,1-14,1,"100A - NURSE'S OFFICE",HP,"LASERJET PRO M1536DNF MFP",REMOVE,
VNB3M61076,2-22,2,"201 - CLASSROOM",HP,"LASERJET PRO P1606DN",REPURPOSE,
CNCQ340663,2-11,2,"03 - MECHANICAL OFFICE",HP,"LASERJET 1200",REMOVE,
USBB093604,2-5,2,"BETWEEN 230/231",HP,"LASERJET 4050",REMOVE,
USJG003418,2-10,2,219,HP,"LASERJET 8100N",REMOVE,
VNB3D38977,2-3,2,"235 - CLASSROOM",HP,"LASERJET 1020",REMOVE,
VNB3M38789,N/A,N/A,N/A,HP,"LASERJET 1022N",REMOVE,
CN1CO1S2MM05KC,2-7,2,"MATH OFFICE",HP,"OFFICEJET PRO 8600 N911A",REMOVE,
CNBK524573,2-20,2,"S2-5 DR. BENNETT",HP,"LASERJET P1505N",REMOVE,
CNCQ340631,2-24,2,"200 FACULTY WORKROOM",HP,"LASERJET 1200",REMOVE,
VNB3M07870,2-18,2,"SRO OFFICE",HP,"LASERJET 1022N",REMOVE,
CNBJL48103,1-1,1,"MAIN OFFICE - SECRETARY",HP,"LASERJET P2015",REMOVE,
VND3C38435,N/A,1,"LIBRARY - STORAGE ROOM",HP,"LASERJET 1505",REMOVE,
CNBK637287,N/A,1,"LIBRARY - STORAGE ROOM",HP,"LASERJET 1505",REMOVE,
CNG8B8B7RG,N/A,1,"LIBRARY - STORAGE ROOM",HP,"LASERJET M1522NF",REMOVE,
USQC081117,1-39,1,"LIBRARY - RESOURCE TECH OFFICE",HP,"LASERJET 4050",REMOVE,
MY523C73R8,N/A,1,"LIBRARY - STORAGE ROOM",HP,"OFFICE JET 7210 ALL IN ONE",REMOVE,
CNB9S49877,G-15,G,"33 - IETC CLASSROOM",HP,"LASERJET P2035N",REMOVE,
CNB9S49870,G-11,G,"30 - TECH ED CLASSROOM",HP,"LASERJET P2035N",REMOVE,
CNB0602155,G-12,G,"30 - TECH ED CLASSROOM",HP,"COLOR LASERJET CP1518NI",REMOVE,
HQR17002,G-5,G,"STEEL DRUM ROOM",CANON,"IMAGECLASS D1320",REMOVE,
U60302M6K444506,G-8,G,"S-1 OFFICE - FIELD REP",BROTHER,INTELLIFAX-1270E,REMOVE,
HY5885P37N,G-7,G,"S-1 OFFICE - FIELD REP",HP,"DESKJET 5650",REMOVE,
CN1K423864538B3C0081,G-9,G,"S-1 OFFICE - FIELD REP",KODAK,"ESP OFFICE 6100 SERIES",REMOVE,
605D528,1-40,1,"LIBRARY - RESOURCE TECH OFFICE",OCE,"IM 3511",REMOVE,
CND99BMBSQ,1-42,1,"LIBRARY - RESOURCE TECH OFFICE",HP,"COLOR LASERJET CM2320FXI MFP",REMOVE,
CNBC64K0L0,N/A,1,"LIBRARY - RESOURCE TECH OFFICE",HP,"COLOR LASERJET 2605DN",REMOVE,
Catonsville MS 3rd party billing.xlsm.csv.0  
"Serial Number","Floor Plan #",Floor,"Suite/Room Number",Manufacturer,Model,"Recommendation State","Pallet Number"
CNFC53C0GC,1-36,1,"RESOURCE ROOM 2",HP,"LASERJET 1320",REMOVE,
CNCB563662,1-33,1,"21 - CLASSROOM",HP,"LASERJET 1200",REMOVE,
MY74J440P104M9,1932/01/01,1,,HP,"OFFICEJET PRO K5400",REMOVE,
CNAC81Q17J,1-31,1,"PREP ROOM BETWEEN 20/21",HP,"COLOR LASERJET CP1518NI",REMOVE,
Catonsville MS Removals.xlsm.csv.0  
"Serial Number","Floor Plan #",Floor,"Suite/Room Number",Manufacturer,Model,"Recommendation State","Pallet Number"
U61227G3W435845,1-9,1,"NURSE OFFICE",BROTHER,"PLAIN PAPER FAX",REMOVE,
CNFC53W2VW,,,,HP,1320,REMOVE,
CNLJF06067,,,,HP,1320,REMOVE,
CNDRB71953,1-42,1,GUIDANCE,HP,"LASERJET 2200",REMOVE,
USGW123871,1-20,1,"LIBRARY LAB",HP,"LASERJET 2100",REMOVE,
CN164G309G05N9,1-10,1,"NURSE OFFICE",HP,"PHOTOSMART ALL-IN-ONE D110A",REMOVE,
SCN79AAND96,,,,HP,"1040 Fax",REMOVE,
VND3C61319,1-39,1,"14 - CLASSROOM",HP,"LASERJET P1505N",REMOVE,
CN172G34JD05N9,,,,HP,"PHOTOSMART ALL-IN-ONE D110A",REMOVE,
VND3C00720,1-2,1,"MAIN OFFICE - BOOKKEEPER MS. CUNNIFF",HP,"LASERJET P1505N",REMOVE,
CNBK619280,,,,HP,"Laserjet 1505",REMOVE,
U62500J2J304855,1-22,1,"LIBRARY OFFICE",BROTHER,"COLOR LASER",REMOVE,
CNGSG20018,1-7,1,"MAIN OFFICE - WORKROOM",HP,"LASERJET 2200",REMOVE,
N8630470008,1-18,1,"TEACHER WORKROOM",STANDARD,"SD 365",REMOVE,
PJWY353921,1-23,1,"LIBRARY OFFICE",EPSON,"WORKFORCE 545",REMOVE,
N8610570004,,,,STANDARD,"SD 365",REMOVE,
M5495500116,1-43,1,"GUIDANCE LOBBY",SAVIN,9040B,REMOVE,
A1V4WY2109113,,,,"KONICA MINOLTA","BIZHUB 423",REMOVE,
Chase ES - Removals.xlsm.csv.0  
"Serial Number","Floor Plan #",Floor,"Suite/Room Number",Department,Manufacturer,Model,"Recommendation State","Pallet Number"
K8565102918,2-26,2,202,0,SAVIN,8025,REMOVE,
N0461170082,,2,HALLWAY,0,STANDARD,SD360,REMOVE,
CN1951K0DY05KD,1-17,1,108,0,HP,"OFFICEJET PRO 8600 PLUS",REMOVE,
CNBRK24914,1-19,1,"LIBRARY WORKROOM",0,HP,"COLOR LASERJET 3500",REMOVE,
VNB3N22177,1-2,1,"MAIN OFFICE",0,HP,"LASERJET PRO P1606DN",REPURPOSE,
VND3C11593,1-21,1,LIBRARY,0,HP,"LASERJET PRO P1606DN",REPURPOSE,
MY3CD4J1P87A,,1,105,0,HP,"DESKJET 5150",REMOVE,
USGW123853,,1,108,0,HP,"LASERJET 2100",REMOVE,
CNGSC54476,1-3,1,PRINCIPAL,0,HP,"COLOR LASERJET CP2025",REMOVE,
USGN386504,,1,OFFICE?,0,HP,"LASERJET 1100",REMOVE,
VNB3F30309,2-25,2,202,0,HP,"LASERJET P2035N",REPURPOSE,
CN19E430R505PJ,,1,101,0,HP,"DESKJET 3050A",REMOVE,
K9364901932,1-16,1,108,0,SAVIN,8035,REMOVE,
Church Lane ES Removals.xlsm.csv.0  
"Serial Number","Floor Plan #",Floor,"Suite/Room Number",Manufacturer,Model,"Recommendation State","Pallet Number"
JPAKF11143,1-12,1,"112 - COMPUTER LAB",HP,"COLOR LASERJET 4600DN",REMOVE,
VND3G02309,,1,,HP,"LASERJET 1022",REMOVE,
VNB3S27403,,1,S-6,HP,"LASERJET 1022",REMOVE,
VNB6P10624,1-7,1,"NURSE'S OFFICE",HP,"LASERJET P1102W",REMOVE,
VNB3Z35940,1-19,1,S-1,HP,"LASERJET P1102W",REMOVE,
USGR103135,1-10,1,"112 - COMPUTER LAB",HP,"LASERJET 2100TN",REMOVE,
VNB4121650,1-15,1,114,HP,"LASERJET P1102W",REMOVE,
VNB4F36422,1-14,1,LIBRARY,HP,"LASERJET P1102W",REMOVE,
USGR103150,1-16,1,P.E.,HP,"LASERJET 2100",REMOVE,
VNB3C87474,,1,S-6,HP,"LASERJET 1022",REMOVE,
VNB3S27438,,1,SPEECH,HP,"LASERJET 1022",REMOVE,
VNB3H69214,,1,108,HP,"LASERJET 1022",REMOVE,
Deer Park MS Removals.xlsm.csv.0  
"Serial Number","Floor Plan #",Floor,"Suite/Room Number",Manufacturer,Model,"Recommendation State","Pallet Number"
N0370370036,N/A,1,N/A,SAVIN,3180,REMOVE,
"N/A 51",1-10,1,"PROJECTS 4 - FACULTY WORKROOM",GESTETNER,"5309L COPY PRINTER",REMOVE,
N0370370063,1-12,1,"PROJECTS 4 - FACULTY WORKROOM",SAVIN,3180DNP,REMOVE,
N0361170128,1-11,1,"PROJECTS 4 - FACULTY WORKROOM",SAVIN,3180DNP,REMOVE,
"N/A 50",1-1,1,"OFFICE BETWEEN 47 AND 48",GESTETNER,"5309L COPY PRINTER",REMOVE,
N0370370062,1-5,1,"121 - FACULTY WORKROOM",SAVIN,3180DNP,REMOVE,
E2651150142,1-6,1,"121 - FACULTY WORKROOM",GESTETNER,"5309L COPY PRINTER",REMOVE,
M6285700385,1-25,1,"MAIN OFFICE",SAVIN,9033B,REMOVE,
M1065900320,1-50,1,GUIDANCE,SAVIN,8030,REMOVE,
CN18HG403Q05CQ,1-47,1,"HEALTH ROOM",HP,"OFFICEJET 4500",REMOVE,
FCNHC57G2MM,N/A,1,"ROOM 4",HP,"LASERJET 1320",REMOVE,
CNBCD7M2N4,1-40,1,"DEPARTMENT CHAIR C",HP,"LASERJET 600 M602",REPURPOSE,
JPBCD7N275,1-15,1,"PROJECTS 4 - FACULTY WORKROOM",HP,"LASERJET 600 M602",REPURPOSE,
CNBCD7M2NQ,1-14,1,"PROJECTS 4 - FACULTY WORKROOM",HP,"LASERJET 600 M602",REPURPOSE,
CNRXC85315,1-33,1,"DEPARTMENT CHAIR",HP,"LASERJET 4250",REPURPOSE,
CNGS433070,1-18,1,"PRINCIPAL'S OFFICE",HP,"COLOR LASERJET CP2025DN",REMOVE,
USGR103122,1-22,1,110F,HP,"LASERJET 2100TN",REMOVE,
CNDS101015,N/A,1,N/A,HP,"COLOR LASERJET CP2025DN",REMOVE,
CNGXB30399,1-29,1,"MAIN OFFICE",HP,"LASERJET 4350",REPURPOSE,
CNRXC90106,N/A,1,83,HP,"LASERJET 4250",REPURPOSE,
JPBGJ30673,N/A,1,83,HP,"LASERJET 2100TN",REMOVE,
CNB9L58041,N/A,1,83,HP,"LASERJET 2055",REMOVE,
U61325F9N933915,1-26,1,"MAIN OFFICE",BROTHER,"INTELLIFAX 2820",REMOVE,
CNRXL33815,N/A,1,83,HP,"LASERJET 4250",REMOVE,
USBC155047,N/A,1,83,HP,"LASERJET 4050",REMOVE,
FCNHC57G2MZ,N/A,1,83,HP,"LASERJET 1320",REMOVE,
CNBCD350XV,1-28,1,"MAIN OFFICE",HP,"LASERJET 600 M602",MOVE,
CNRXB86221,N/A,1,83,HP,"LASERJET 4250",REMOVE,
CNHC7D40NK,N/A,1,N/A,HP,"LASERJET 2605",REMOVE,
CN23GBS11V05KC,1-42,1,"BETWEEN 43 AND 44",HP,"OFFICEJET PRO 8600 N911A",REMOVE,
USJB161824,N/A,1,83,HP,"LASERJET 1100",REMOVE,
U61444A8J443398,N/A,1,83,BROTHER,HL-5250,REMOVE,
CNB9L41891,N/A,1,83,HP,"LASERJET P2055",REMOVE,
CNGXH22376,1-7,1,"121 - FACULTY WORKROOM",HP,"LASERJET 4350",REPURPOSE,
CN25BBT1SY05KC,1-20,1,"109 - ASST. PRINCIPAL'S OFFICE",HP,"OFFICEJET PRO 8600 N911A",REMOVE,
VNB3416993,1-37,1,"DEPARTMENT CHAIR C",HP,"LASERJET PROFESSIONAL P1102W",REMOVE,
3A61BKCY511245J,N/A,1,83,SAMSUNG,ML-2010,REMOVE,
CNCB111495,N/A,1,83,HP,"LASERJET 1300",REMOVE,
VNB3H45049,N/A,1,N/A,HP,"LASERJET P1006",REMOVE,
CN25BBT1TB05KC,1-36,1,71B,HP,"OFFICEJET PRO 8600",REMOVE,
CN31VB2G8K05KD,1-35,1,83,HP,"OFFICEJET PRO 8600",REMOVE,
VNB3B65263,1-46,1,"CHIEF CUSTODIAN",HP,"LASERJET P2035",KEEP,
Dulaney HS Perkins Funds.xlsm.csv.0  
"Serial Number","Floor Plan #",Floor,"Suite/Room Number",Manufacturer,Model,"Recommendation State","Pallet Number"
USKC024755,3-34,3,S-300,HP,"LASERJET 5",REMOVE,
USKC067805,3-35,3,S-300,HP,"LASERJET 5",REMOVE,
USKC024740,3-36,3,S-300,HP,"LASERJET 5",REMOVE,
JPGLB10913,,3,S-300,HP,"COLOR LASERJET 4700N",REMOVE,
JPCKB22830,,3,S-300,HP,"COLOR LASERJET 4600DN",REMOVE,
JPBLM74363,3-32,3,"307 - DIGITAL LAB",HP,"LASERJET 8150",REMOVE,
USBC019339,3-33,3,S-300,HP,"LASERJET 8100",REMOVE,
Dulaney HS Removal.xlsm.csv.0  
"Serial Number","Floor Plan #",Floor,"Suite/Room Number",Manufacturer,Model,"Recommendation State","Pallet Number"
N6891070001,3-20,3,323,STANDARD,"SD 360 DUPLICATOR",REMOVE,
N0460670068,3-8,3,"FACULTY LOUNGE",STANDARD,"SD 360 DUPLICATOR",REMOVE,
N0480270062,1-7,1,"S-100 - SOCIAL STUDIES BOOK ROOM",STANDARD,"SD 360 DUPLICATOR",REMOVE,
K8556002217,2-19,2,GUIDANCE,SAVIN,8025,REMOVE,
K8565103395,3-9,3,"FACULTY LOUNGE",SAVIN,8025,REMOVE,
CNGS473340,3-11,3,"312 - FACULTY OFFICE",HP,"COLOR LASERJET CP2025DN",REMOVE,
USGR103146,1-11,1,119,HP,"LASERJET 2100TN",REMOVE,
CNJBC06776,3-3,3,"314 - DIGITAL LAB",HP,"COLOR LASERJET 3600",REMOVE,
CNWBD68507,3-4,3,"314 - DIGITAL LAB",HP,"COLOR LASERJET 3600N",REMOVE,
CNB9R70855,1-6,1,"S-100 - SOCIAL STUDIES BOOK ROOM",HP,"LASERJET P2035N",REMOVE,
CNGBD08295,3-1,3,"LATTINORE - OFFICE",HP,"COLOR LASERJET 3600",REMOVE,
USCC024815,3-27,3,"305 - DIGITAL LAB",HP,"LASERJET 8100",REMOVE,
JPBLM74365,3-26,3,"305 - DIGITAL LAB",HP,"LASERJET 8150",REMOVE,
J6J637304,3-19,3,323,BROTHER,"HL-5250DN SERIES",REMOVE,
CN0CF1F36V057W,3-16,3,319,HP,"OFFICEJET 6000 E609A",REMOVE,
JPAKF00048,3-2,3,"314 - DIGITAL LAB",HP,"COLOR LASERJET 4600",REMOVE,
VNB3F18160,3-22,3,"315 - VIDEO ROOM",HP,"LASERJET PRO P1102W",REMOVE,
VND3K11504,1-14,1,"MUSIC OFFICE",HP,"LASERJET PRO P1102W",REMOVE,
KBQEQ399356,3-7,3,"314 - DIGITAL LAB",EPSON,"STYLUS PHOTO R1900",REMOVE,
LD7P047117,3-6,3,"314 - DIGITAL LAB",EPSON,"STYLUS NX 415",REMOVE,
CN294140RD05R7,3-23,3,"MATH OFFICE",HP,"DESKJET 3510 SERIES",REMOVE,
CN36J1R0P305X4,1-3,1,"OFFICE NEXT TO STORAGE",HP,"ENVY 4500 E-ALL-IN-ONE",REMOVE,
U61444L6J710679,N/A,3,"FACULTY LOUNGE",BROTHER,"HL-5250DN SERIES",REMOVE,
CNBJP52247,1-18,1,"VOCAL MUSIC",HP,"LASERJET P2015",REMOVE,
CNBC55Y040,3-15,3,"313 - DIGITAL LAB",HP,"COLOR LASERJET 2600N",REMOVE,
CNBHD71207,1-12,1,"107 - BACK OFFICE",HP,"LASERJET 2300",REMOVE,
U60302A7K555219,N/A,3,"FACULTY LOUNGE",BROTHER,"INTELLIFAX 1270",REMOVE,
GC7Y069367,1-16,1,"120 - DANCE",EPSON,"STYLUS PHOTO RX620",REMOVE,
CN2575CHPH05PJ,3-24,3,311,HP,"DESKJET 3050A ALL-IN-ONE J611G",REMOVE,
CNBHD52909,3-25,3,"S-301 - MATH",HP,"LASERJET 2300",REMOVE,
CNB1402470,3-43,3,316,HP,"COLOR LASERJET CP1215",REMOVE,
CNBHH48810,1-2,1,114,HP,"LASERJET 2300",REMOVE,
CN15H6R08PBH,N/A,3,N/A,HP,"DESKJET 940C",REMOVE,
MDDZ148106,N/A,3,"121 COLSET",EPSON,NX-125,REMOVE,
CNDL086932,3-37,3,301,HP,"LASERJET 1200",REMOVE,
CNHC71R1GP,3-41,3,"303 - DIGITAL LAB",HP,"COLOR LASERJET 2600N",REMOVE,
CNGHH52543,3-42,3,"303 - DIGITAL LAB",HP,"COLOR LASERJET 2550N",REMOVE,
CNGKK60698,3-38,3,"303 - DIGITAL LAB",HP,"LASERJET 2420",REMOVE,
JPGGR40440,3-40,3,"303 - DIGITAL LAB",HP,"LASERJET 2200",REMOVE,
CNB9X73781,3-18,3,318,HP,"LASERJET P2035N",REMOVE,
JPGGR38842,3-17,3,318,HP,"LASERJET 2200",REMOVE,
M6485100509,2-25,2,"A/V ROOM",SAVIN,9025B,REMOVE,
N6691170047,2-26,2,"A/V ROOM",STANDARD,"SD 360 DUPLICATOR",REMOVE,
J8345801804,2-23,2,MEDIA,SAVIN,4022,REMOVE,
N6891170011,2-27,2,"A/V ROOM",STANDARD,"SD 360 DUPLICATOR",REMOVE,
N0480270030,2-48,2,"214 - FACULTY ROOM",STANDARD,"SD 360 DUPLICATOR",REMOVE,
CNBJF08820,2-15,2,"LENET - COUNSELOR",HP,"LASERJET P2015D",REMOVE,
CNB9D09425,2-18,2,"KOMOSA - COUNSELOR",HP,"LASERJET P2035N",REMOVE,
CNB9R86232,2-49,2,"OFFICE BETWEEN 226/227",HP,"LASERJET P2035N",REMOVE,
CNGRD11224,2-44,2,"214 - FACULTY ROOM",HP,"LASERJET 2200",REMOVE,
VNB3N44466,N/A,2,,HP,"LASERJET 1022",REMOVE,
CN36J1R0Q205X4,2-8,2,"DUGAS - ASST. PRINCIPAL",HP,"ENVY 4500 E-ALL-IN-ONE",REMOVE,
CN03T2M1QS,2-69,2,"234 - CISCO LAB",HP,"OFFICEJET PRO 8000",REMOVE,
MY3B7G22ZN6T,N/A,2,234,HP,"PHOTOSMART ALL-IN-ONE 2410",REMOVE,
CNRC6793CG,2-70,2,235,HP,"LASERJET 1320",REMOVE,
8C32839DB0102,2-73,2,236,CANON,"PIXMA MP490",REMOVE,
CNBC55Q016,N/A,2,,HP,"LASERJET 1022",REMOVE,
CNB9F02873,2-13,2,"FRITZ - COUNSELOR",HP,"LASERJET P2035N",REMOVE,
CNBGH74388,N/A,2,,HP,"LASERJET 2300",REMOVE,
CNBJS40900,2-68,2,"234 - CISCO LAB",HP,"LASERJET P2015",REMOVE,
CN2AA1406305SY,2-9,2,"BERRY - ASST. PRINCIPAL",HP,"DESKJET 3520 E-ALL-IN-ONE",REMOVE,
CN24N2H0CC05RQ,2-90,2,"OFFICE 3 - WORLD LANGUAGES",HP,"OFFICEJET 6700 PREMIUM E-ALL-IN-ONE H711N",REMOVE,
KRM1JC9702-332BDG10P1,2-66,2,"234 - CISCO LAB",XEROX,"PHASER 6110MFP",REMOVE,
D8J263208,2-75,2,239,BROTHER,MFC-9840CDW,REMOVE,
CNBKR63658,2-6,2,"ROTHSCHILD - ASST. PRINCIPAL",HP,"LASERJET 1020",REMOVE,
DTS86673,2-11,2,"HIPPLER - FISCAL ASST.",CANON,"IMAGECLASS D420",REMOVE,
VND3B25061,2-7,2,"BILLINGSLEA - ASST. PRINCIPAL",HP,"LASERJET P1505",REMOVE,
U61444F7J132685,2-91,2,"S-201 - SERVER ROOM",BROTHER,HL-5250DN,REMOVE,
